Feature,Type,Coefficient,Importance
great american,Text,-0.3981234142212903,0.3981234142212903
arduino,Text,0.39810568785993156,0.39810568785993156
culture,Text,-0.39776602834276625,0.39776602834276625
spiral,Text,-0.3976719739230966,0.3976719739230966
canada,Text,0.3975645660787984,0.3975645660787984
support,Text,-0.39732810193397655,0.39732810193397655
chemistry,Text,0.39729954240226983,0.39729954240226983
phil,Text,0.3972294123481074,0.3972294123481074
iphone,Text,-0.3966424048286647,0.3966424048286647
victorian,Text,0.39636658127008284,0.39636658127008284
steel,Text,-0.3953311330666135,0.3953311330666135
word,Text,-0.3947465903554935,0.3947465903554935
rift,Text,0.3943082275838689,0.3943082275838689
wild west,Text,-0.39425703778024523,0.39425703778024523
canadian,Text,-0.39405568468144636,0.39405568468144636
part,Text,-0.39400273720445694,0.39400273720445694
poem,Text,-0.39390774933673967,0.39390774933673967
lonely,Text,-0.39345389003781434,0.39345389003781434
geek,Text,-0.3933585967629852,0.3933585967629852
britain,Text,-0.39309189928182187,0.39309189928182187
official music,Text,-0.3929624133869994,0.3929624133869994
lounge,Text,-0.3928760232420794,0.3928760232420794
novella,Text,0.39273531313348164,0.39273531313348164
lit,Text,0.3925407401343433,0.3925407401343433
flavor,Text,-0.3921424204480359,0.3921424204480359
void,Text,0.39188228298866407,0.39188228298866407
draft,Text,-0.39177820839141736,0.39177820839141736
bridal,Text,-0.39164111244942235,0.39164111244942235
stadium,Text,-0.3915265004000512,0.3915265004000512
environment,Text,-0.3914839808909082,0.3914839808909082
automation,Text,-0.39129500329296185,0.39129500329296185
mob,Text,0.3912046832608045,0.3912046832608045
comic,Text,-0.39119998952860546,0.39119998952860546
five,Text,0.3910254619300749,0.3910254619300749
vintage,Text,-0.3908083104991265,0.3908083104991265
holy,Text,-0.3907767692175475,0.3907767692175475
brazilian,Text,-0.3906570040699424,0.3906570040699424
split,Text,0.39016605854640246,0.39016605854640246
smartphone,Text,0.3901179083151154,0.3901179083151154
inspiring,Text,-0.38977985324004166,0.38977985324004166
exhibit,Text,0.38958818114799537,0.38958818114799537
lifestyle,Text,-0.3891987951162007,0.3891987951162007
il,Text,0.3890559257831877,0.3890559257831877
match,Text,-0.38900929020034036,0.38900929020034036
outside,Text,0.38898761205945853,0.38898761205945853
em,Text,-0.388714646075793,0.388714646075793
category_Periodicals,Category,0.3886688520607116,0.3886688520607116
summer tour,Text,0.3886201609858598,0.3886201609858598
lp,Text,0.3881805827310019,0.3881805827310019
lincoln,Text,-0.38811712034922263,0.38811712034922263
connect,Text,-0.38790439740188,0.38790439740188
android,Text,-0.38779649343986583,0.38779649343986583
begin,Text,-0.38776504040262016,0.38776504040262016
midsummer,Text,-0.38772389729630974,0.38772389729630974
trilogy,Text,-0.3875600155865831,0.3875600155865831
buffalo,Text,0.3875484955771872,0.3875484955771872
help get,Text,-0.38730516262359094,0.38730516262359094
along,Text,0.3869739934804744,0.3869739934804744
colouring book,Text,-0.3866628914822945,0.3866628914822945
sphere,Text,0.38649489898722433,0.38649489898722433
privacy,Text,0.3864933037853698,0.3864933037853698
via,Text,-0.3864596504938911,0.3864596504938911
loop,Text,0.3862202199589503,0.3862202199589503
radio show,Text,-0.38609465797956427,0.38609465797956427
breakfast,Text,-0.38598798650481725,0.38598798650481725
taking,Text,-0.385224545519512,0.385224545519512
category_Live Games,Category,-0.3849404608679497,0.3849404608679497
writing,Text,-0.38461100427263645,0.38461100427263645
sauce,Text,-0.3845390916560473,0.3845390916560473
endless,Text,0.3842726922777844,0.3842726922777844
du,Text,0.3837848459089891,0.3837848459089891
darkness,Text,-0.38351503995185804,0.38351503995185804
video game,Text,0.3834519061959309,0.3834519061959309
diversity,Text,-0.3832883274361544,0.3832883274361544
van,Text,0.38309899351861804,0.38309899351861804
ornament,Text,0.38300510791987746,0.38300510791987746
kyle,Text,-0.3826676374205785,0.3826676374205785
drink,Text,-0.3821332255667275,0.3821332255667275
debut solo,Text,0.3820356524312809,0.3820356524312809
robot,Text,0.38199697489620466,0.38199697489620466
rose,Text,-0.38197173945740015,0.38197173945740015
